,Comment
224,다니엘이 진짜 의외의 예능캐임ㅋㅋㅋ 볼때마다 웃겨 일부러 웃기는건 아닌데 웃겨서 더 좋아 저 해맑음
225,박명수가 나이차 겁나나는데도 애기들 상대로 겁나 자연스럽고 안지루하게 잘함 아이돌들이 요즘 선호하는 채널 박명수인듯
226,분명 이때 다들 속이 말이 아니었을텐데.. 멤버 간 정말 친해보이고 케미도 넘 좋고  예쁜 뉴진스 응원함!
227,입장부터 박명수 찐으로 편하게 좋아하는거 느껴진다 ㅋㅋㅋㅋㅋㅋ 명수옹 찐리즈아니냐 2인자탈출이다 진심
228,먼가 뻔한 질문에 뻔한 대답만 이어지는 게 아닌  자연스럽게 대화 주제가 막 바뀌는 엉뚱함도 다 받아주는 분위기가 정말 좋네요 재미도 있구요  세번째 보는 사이에 토크라 보기엔 너무 어색함이 없음
229,진짜 박명수 인간적으로 좋아하고 뉴진스도 응원하는데 이 시기에 뉴진스랑 같이 해줘서 너무 고맙고 대단하다고 생각함 남의 눈치 보지 않고 자신만의 소신으로 살아가는 게 진심으로 개 멋짐 명수옹 감사해요🩵뉴진스아가들 응원해🩷
230,진짜 뉴진스는 착한게 여기까지 느껴지네.. 너무 순수하고 이쁘다
231,떳다떳다 할명수 우리뉴진스 예능 초초초대박!!!
232,어케 안튀는 애들이 없이 한명한명 다 특별하지...? 다들 숨길 수 없는 매력이 철철 넘친다 ㅜㅜㅜ 사랑해 뉴진스
233,다니엘 뭐 물어볼때마다 왜이렇게 귀여움ㅋㅋㅋ 박명수랑 케미가 좋네 밥사즈
234,뉴진스 컴백 제발 대박나길 바라는 나 근데 이미 대박날거 같은게 사실
235,민지 할잘알이네 ㅋㅋ 제작진분들이랑 삼겹살 투어같이 돌아댕기는거랑 명수형이  이것저것 리뷰하는 거 재밌지 할명수 본연의 맛 ㅋㅋ
236,명수님 초대해주셔서 정말 감사해요 사랑스럽다 우리 애들 너무!  잘했어요 너무 재밌게 잘했어!!! 아 그리고 제작진 여러분들 애정으로 제작해주셔서 감사해요♡
237,진짜 뉴진스는 보고만 있어도 미소가 지어지는 유일한 아이돌인듯 진짜 힐링된다
238,애들이 어쩜 작위적인거 예쁜척하는거 하나없이 너무 예쁘고 보고만 있어도 웃음이나냐... 뉴진스 언니들이 진짜 많이 사랑한다...
239,역시 아이돌 나올때마다 아버지처럼 따뜻하고 편하게 대해주시는 명수옹..이래서 할명수 보지..
240,뉴진스 2년도 안된 팀이 이대로 활동을 못하게 되는건 안됩니다 뉴진스의 음악과 무대를 앞으로도 보고 싶어요.뉴진스를 지키고 싶습니다 도와주세요
